"Step","phase1-reasoning - train/layers/l20_mse","phase1-reasoning - train/layers/l20_mse__MIN","phase1-reasoning - train/layers/l20_mse__MAX"
"168","6.790610611438751","6.790610611438751","6.790610611438751"
"169","6.168345630168915","6.168345630168915","6.168345630168915"
"170","6.0704100131988525","6.0704100131988525","6.0704100131988525"
"171","6.542192578315735","6.542192578315735","6.542192578315735"
"172","6.265870273113251","6.265870273113251","6.265870273113251"
"174","6.0386292934417725","6.0386292934417725","6.0386292934417725"
"175","6.855974495410919","6.855974495410919","6.855974495410919"
"176","6.903330028057098","6.903330028057098","6.903330028057098"
"177","6.64616471529007","6.64616471529007","6.64616471529007"
"178","6.261772096157074","6.261772096157074","6.261772096157074"
"179","6.116146504878998","6.116146504878998","6.116146504878998"
"180","6.491305351257324","6.491305351257324","6.491305351257324"
"181","6.039408624172211","6.039408624172211","6.039408624172211"
"182","7.2887585163116455","7.2887585163116455","7.2887585163116455"
"183","6.590803623199463","6.590803623199463","6.590803623199463"
"184","7.065822899341583","7.065822899341583","7.065822899341583"
"185","6.362851440906525","6.362851440906525","6.362851440906525"
"186","6.854350924491882","6.854350924491882","6.854350924491882"
"187","6.757271468639374","6.757271468639374","6.757271468639374"
"188","6.561122357845306","6.561122357845306","6.561122357845306"
"189","6.62129682302475","6.62129682302475","6.62129682302475"
"190","6.238115578889847","6.238115578889847","6.238115578889847"
"191","6.478025496006012","6.478025496006012","6.478025496006012"
"192","6.445808112621307","6.445808112621307","6.445808112621307"
"193","6.385692715644836","6.385692715644836","6.385692715644836"
"194","6.572334706783295","6.572334706783295","6.572334706783295"
"195","6.361420154571533","6.361420154571533","6.361420154571533"
"196","6.6048771142959595","6.6048771142959595","6.6048771142959595"
"197","6.048517167568207","6.048517167568207","6.048517167568207"
"198","6.453317224979401","6.453317224979401","6.453317224979401"
"200","6.422235071659088","6.422235071659088","6.422235071659088"
"201","6.632004380226135","6.632004380226135","6.632004380226135"
"202","6.607640624046326","6.607640624046326","6.607640624046326"
"203","6.60267972946167","6.60267972946167","6.60267972946167"
"204","7.431199491024017","7.431199491024017","7.431199491024017"
"205","6.432945668697357","6.432945668697357","6.432945668697357"
"206","6.434872090816498","6.434872090816498","6.434872090816498"
"207","6.272904217243195","6.272904217243195","6.272904217243195"
