"Step","phase1-reasoning - train/mse","phase1-reasoning - train/mse__MIN","phase1-reasoning - train/mse__MAX"
"265","23.277787446975708","23.277787446975708","23.277787446975708"
"266","21.743635177612305","21.743635177612305","21.743635177612305"
"267","20.629138469696045","20.629138469696045","20.629138469696045"
"268","22.166415691375732","22.166415691375732","22.166415691375732"
"269","22.080875873565674","22.080875873565674","22.080875873565674"
"270","21.735926628112793","21.735926628112793","21.735926628112793"
"271","22.506259441375732","22.506259441375732","22.506259441375732"
"272","20.830332279205322","20.830332279205322","20.830332279205322"
"273","21.556400299072266","21.556400299072266","21.556400299072266"
"274","18.797881841659546","18.797881841659546","18.797881841659546"
"275","22.914194107055664","22.914194107055664","22.914194107055664"
"276","21.287349462509155","21.287349462509155","21.287349462509155"
"277","19.931358337402344","19.931358337402344","19.931358337402344"
"278","20.63672637939453","20.63672637939453","20.63672637939453"
"279","22.167441844940186","22.167441844940186","22.167441844940186"
"280","21.3085675239563","21.3085675239563","21.3085675239563"
"281","19.450302362442017","19.450302362442017","19.450302362442017"
"282","20.231046438217163","20.231046438217163","20.231046438217163"
"283","20.45931601524353","20.45931601524353","20.45931601524353"
"284","20.967112064361572","20.967112064361572","20.967112064361572"
"286","20.682989358901978","20.682989358901978","20.682989358901978"
"287","21.10080337524414","21.10080337524414","21.10080337524414"
"288","20.285422325134277","20.285422325134277","20.285422325134277"
"289","19.771151542663574","19.771151542663574","19.771151542663574"
"290","20.03615641593933","20.03615641593933","20.03615641593933"
"291","22.323299646377563","22.323299646377563","22.323299646377563"
"292","20.909884452819824","20.909884452819824","20.909884452819824"
"293","21.888277530670166","21.888277530670166","21.888277530670166"
"294","19.77904438972473","19.77904438972473","19.77904438972473"
"295","21.24912166595459","21.24912166595459","21.24912166595459"
"296","21.350123643875122","21.350123643875122","21.350123643875122"
"297","21.804748058319092","21.804748058319092","21.804748058319092"
"298","21.232964277267456","21.232964277267456","21.232964277267456"
"299","21.71648383140564","21.71648383140564","21.71648383140564"
"300","20.279117822647095","20.279117822647095","20.279117822647095"
"301","19.934544801712036","19.934544801712036","19.934544801712036"
"302","22.189419984817505","22.189419984817505","22.189419984817505"
"303","21.48109006881714","21.48109006881714","21.48109006881714"
"304","21.931572675704956","21.931572675704956","21.931572675704956"
"305","19.597824215888977","19.597824215888977","19.597824215888977"
"306","20.691653728485107","20.691653728485107","20.691653728485107"
