"Step","phase1-reasoning - train/kl","phase1-reasoning - train/kl__MIN","phase1-reasoning - train/kl__MAX"
"268","389.135684967041","389.135684967041","389.135684967041"
"269","390.048095703125","390.048095703125","390.048095703125"
"270","387.7852668762207","387.7852668762207","387.7852668762207"
"271","389.43268966674805","389.43268966674805","389.43268966674805"
"272","388.9854202270508","388.9854202270508","388.9854202270508"
"273","389.43092346191406","389.43092346191406","389.43092346191406"
"274","392.88591384887695","392.88591384887695","392.88591384887695"
"275","390.04956436157227","390.04956436157227","390.04956436157227"
"276","389.7384605407715","389.7384605407715","389.7384605407715"
"277","390.60342025756836","390.60342025756836","390.60342025756836"
"278","392.22392654418945","392.22392654418945","392.22392654418945"
"279","392.34653091430664","392.34653091430664","392.34653091430664"
"280","391.0189094543457","391.0189094543457","391.0189094543457"
"281","390.8627471923828","390.8627471923828","390.8627471923828"
"282","392.6369934082031","392.6369934082031","392.6369934082031"
"283","391.98538970947266","391.98538970947266","391.98538970947266"
"284","393.2221565246582","393.2221565246582","393.2221565246582"
"286","391.7020034790039","391.7020034790039","391.7020034790039"
"287","392.5325698852539","392.5325698852539","392.5325698852539"
"288","393.2937545776367","393.2937545776367","393.2937545776367"
"289","391.9865417480469","391.9865417480469","391.9865417480469"
"290","394.8409233093262","394.8409233093262","394.8409233093262"
"291","393.8533592224121","393.8533592224121","393.8533592224121"
"292","394.41596603393555","394.41596603393555","394.41596603393555"
"293","393.1268882751465","393.1268882751465","393.1268882751465"
"294","396.18520736694336","396.18520736694336","396.18520736694336"
"295","394.86633682250977","394.86633682250977","394.86633682250977"
"296","395.46388244628906","395.46388244628906","395.46388244628906"
"297","395.9090156555176","395.9090156555176","395.9090156555176"
"298","395.70909118652344","395.70909118652344","395.70909118652344"
"299","396.1302795410156","396.1302795410156","396.1302795410156"
"300","395.80055236816406","395.80055236816406","395.80055236816406"
"301","396.8911933898926","396.8911933898926","396.8911933898926"
"302","396.5244560241699","396.5244560241699","396.5244560241699"
"303","398.2626533508301","398.2626533508301","398.2626533508301"
"304","399.9470748901367","399.9470748901367","399.9470748901367"
"305","399.6382369995117","399.6382369995117","399.6382369995117"
"306","398.1170997619629","398.1170997619629","398.1170997619629"
"307","397.7151870727539","397.7151870727539","397.7151870727539"
"308","398.776668548584","398.776668548584","398.776668548584"
"309","398.25045013427734","398.25045013427734","398.25045013427734"
"310","400.8856658935547","400.8856658935547","400.8856658935547"
"312","398.9951286315918","398.9951286315918","398.9951286315918"
"313","400.8384132385254","400.8384132385254","400.8384132385254"
"314","400.14825439453125","400.14825439453125","400.14825439453125"
"315","400.8136978149414","400.8136978149414","400.8136978149414"
"316","401.72510528564453","401.72510528564453","401.72510528564453"
"317","402.4839744567871","402.4839744567871","402.4839744567871"
"318","399.52721405029297","399.52721405029297","399.52721405029297"
"319","401.8691749572754","401.8691749572754","401.8691749572754"
