"Step","deep-planet-14 - ce_loss","deep-planet-14 - ce_loss__MIN","deep-planet-14 - ce_loss__MAX"
"2770","3.984375","3.984375","3.984375"
"2780","3.546875","3.546875","3.546875"
"2790","1.5859375","1.5859375","1.5859375"
"2800","3.671875","3.671875","3.671875"
"2810","3","3","3"
"2820","2.09375","2.09375","2.09375"
"2830","1.578125","1.578125","1.578125"
"2840","4.65625","4.65625","4.65625"
"2850","1.7578125","1.7578125","1.7578125"
"2860","4.25","4.25","4.25"
"2870","1.84375","1.84375","1.84375"
"2880","2.375","2.375","2.375"
"2890","1.890625","1.890625","1.890625"
"2900","2.984375","2.984375","2.984375"
"2910","2.125","2.125","2.125"
"2920","2.890625","2.890625","2.890625"
"2930","1.9296875","1.9296875","1.9296875"
"2940","3.59375","3.59375","3.59375"
"2950","3.765625","3.765625","3.765625"
"2960","1.3671875","1.3671875","1.3671875"
"2970","1.4765625","1.4765625","1.4765625"
"2980","2.875","2.875","2.875"
"2990","1.53125","1.53125","1.53125"
"3000","3.125","3.125","3.125"
"3010","3.71875","3.71875","3.71875"
"3020","3.953125","3.953125","3.953125"
"3030","4.96875","4.96875","4.96875"
"3040","2.5625","2.5625","2.5625"
"3050","3.84375","3.84375","3.84375"
"3060","2.453125","2.453125","2.453125"
"3070","3.046875","3.046875","3.046875"
"3080","1.6875","1.6875","1.6875"
"3090","2","2","2"
"3100","2.640625","2.640625","2.640625"
"3110","3.125","3.125","3.125"
"3120","3.359375","3.359375","3.359375"
"3130","2.484375","2.484375","2.484375"
"3140","3.171875","3.171875","3.171875"
"3150","2.734375","2.734375","2.734375"
"3160","1.6875","1.6875","1.6875"
"3170","1.453125","1.453125","1.453125"
"3180","3.046875","3.046875","3.046875"
"3190","2.71875","2.71875","2.71875"
"3200","3.484375","3.484375","3.484375"
"3210","2.65625","2.65625","2.65625"
"3220","2.71875","2.71875","2.71875"
"3230","4.125","4.125","4.125"
"3240","3.125","3.125","3.125"
"3250","1.8671875","1.8671875","1.8671875"
"3260","1.46875","1.46875","1.46875"
"3270","1.5859375","1.5859375","1.5859375"
"3280","2.59375","2.59375","2.59375"
"3290","1.3671875","1.3671875","1.3671875"
"3300","1.5546875","1.5546875","1.5546875"
"3310","1.2109375","1.2109375","1.2109375"
"3320","1.5078125","1.5078125","1.5078125"
"3330","3.453125","3.453125","3.453125"
"3340","2.65625","2.65625","2.65625"
"3350","1.3671875","1.3671875","1.3671875"
"3360","1.3359375","1.3359375","1.3359375"
"3370","3.8125","3.8125","3.8125"
"3380","2.9375","2.9375","2.9375"
"3390","3.65625","3.65625","3.65625"
"3400","1.4375","1.4375","1.4375"
"3410","3.125","3.125","3.125"
"3420","1.4609375","1.4609375","1.4609375"
"3430","0.90625","0.90625","0.90625"
"3440","1.5234375","1.5234375","1.5234375"
"3450","1.390625","1.390625","1.390625"
"3460","2.8125","2.8125","2.8125"
"3470","1.390625","1.390625","1.390625"
"3480","1.453125","1.453125","1.453125"
"3490","1.7578125","1.7578125","1.7578125"
"3500","1.53125","1.53125","1.53125"
"3510","3.578125","3.578125","3.578125"
"3520","2.828125","2.828125","2.828125"
"3530","1.2421875","1.2421875","1.2421875"
"3540","2.34375","2.34375","2.34375"
"3550","2.53125","2.53125","2.53125"
"3560","3.65625","3.65625","3.65625"
"3570","1.8359375","1.8359375","1.8359375"
"3580","2.875","2.875","2.875"
"3590","0.99609375","0.99609375","0.99609375"
"3600","3.796875","3.796875","3.796875"
"3610","1.265625","1.265625","1.265625"
"3620","2.953125","2.953125","2.953125"
"3630","2.734375","2.734375","2.734375"
"3640","3.71875","3.71875","3.71875"
"3650","2.625","2.625","2.625"
"3660","2.390625","2.390625","2.390625"
"3670","2.9375","2.9375","2.9375"
"3680","2.84375","2.84375","2.84375"
"3690","2.96875","2.96875","2.96875"
"3700","1.359375","1.359375","1.359375"
"3710","0.9921875","0.9921875","0.9921875"
"3720","1.3828125","1.3828125","1.3828125"
"3730","2.25","2.25","2.25"
"3740","1.09375","1.09375","1.09375"
"3750","1.6484375","1.6484375","1.6484375"
"3760","1.125","1.125","1.125"
"3770","1.8984375","1.8984375","1.8984375"
"3780","2.984375","2.984375","2.984375"
"3790","2.734375","2.734375","2.734375"
"3800","3.59375","3.59375","3.59375"
"3810","3.734375","3.734375","3.734375"
"3820","1.8515625","1.8515625","1.8515625"
"3830","2.71875","2.71875","2.71875"
"3840","1.46875","1.46875","1.46875"
"3850","2.703125","2.703125","2.703125"
"3860","2.90625","2.90625","2.90625"
"3870","2.453125","2.453125","2.453125"
"3880","2.796875","2.796875","2.796875"
"3890","1.3828125","1.3828125","1.3828125"
"3900","0.98046875","0.98046875","0.98046875"
"3910","3.265625","3.265625","3.265625"
"3920","3.390625","3.390625","3.390625"
"3930","2.53125","2.53125","2.53125"
"3940","2.296875","2.296875","2.296875"
"3950","1.1484375","1.1484375","1.1484375"
"3960","3.453125","3.453125","3.453125"
"3970","1.4375","1.4375","1.4375"
"3980","2.71875","2.71875","2.71875"
"3990","1.3359375","1.3359375","1.3359375"
"4000","1.28125","1.28125","1.28125"
"4010","1.2734375","1.2734375","1.2734375"
"4020","2.734375","2.734375","2.734375"
"4030","1.90625","1.90625","1.90625"
"4040","2.578125","2.578125","2.578125"
"4050","1.2734375","1.2734375","1.2734375"
"4060","3.4375","3.4375","3.4375"
"4070","1.296875","1.296875","1.296875"
"4080","2.453125","2.453125","2.453125"
"4090","1.1875","1.1875","1.1875"
"4100","1.828125","1.828125","1.828125"
"4110","2.78125","2.78125","2.78125"
"4120","2.859375","2.859375","2.859375"
"4130","2.359375","2.359375","2.359375"
"4140","2.359375","2.359375","2.359375"
"4150","2.6875","2.6875","2.6875"
"4160","2.96875","2.96875","2.96875"
"4170","3.46875","3.46875","3.46875"
"4180","3.875","3.875","3.875"
"4190","2.359375","2.359375","2.359375"
"4200","3.796875","3.796875","3.796875"
"4210","2.5625","2.5625","2.5625"
"4220","3.265625","3.265625","3.265625"
"4230","3.328125","3.328125","3.328125"
"4240","2.34375","2.34375","2.34375"
"4250","1.6015625","1.6015625","1.6015625"
"4260","1.2265625","1.2265625","1.2265625"
"4270","1.2421875","1.2421875","1.2421875"
"4280","1.7578125","1.7578125","1.7578125"
"4290","3.15625","3.15625","3.15625"
"4300","3.328125","3.328125","3.328125"
"4310","1.390625","1.390625","1.390625"
"4320","2.21875","2.21875","2.21875"
"4330","2.640625","2.640625","2.640625"
"4340","2.421875","2.421875","2.421875"
"4350","1.109375","1.109375","1.109375"
"4360","0.96484375","0.96484375","0.96484375"
"4370","1.3359375","1.3359375","1.3359375"
"4380","2.96875","2.96875","2.96875"
"4390","1.515625","1.515625","1.515625"
"4400","1.8828125","1.8828125","1.8828125"
"4410","1.3515625","1.3515625","1.3515625"
"4420","6.9375","6.9375","6.9375"
"4430","2.765625","2.765625","2.765625"
"4440","3","3","3"
"4450","3.859375","3.859375","3.859375"
"4460","4","4","4"
"4470","2.359375","2.359375","2.359375"
"4480","2.5","2.5","2.5"
"4490","2.5625","2.5625","2.5625"
"4500","3.578125","3.578125","3.578125"
"4510","3.140625","3.140625","3.140625"
"4520","1.4453125","1.4453125","1.4453125"
"4530","1.53125","1.53125","1.53125"
"4540","2.578125","2.578125","2.578125"
"4550","2.3125","2.3125","2.3125"
"4560","2.578125","2.578125","2.578125"
"4570","1.5703125","1.5703125","1.5703125"
"4580","1.765625","1.765625","1.765625"
