"Step","deep-planet-14 - effective_dim","deep-planet-14 - effective_dim__MIN","deep-planet-14 - effective_dim__MAX"
"6210","298","298","298"
"6220","288","288","288"
"6230","320","320","320"
"6240","302","302","302"
"6250","322","322","322"
"6260","328","328","328"
"6270","320","320","320"
"6280","326","326","326"
"6290","342","342","342"
"6300","338","338","338"
"6310","304","304","304"
"6320","300","300","300"
"6330","312","312","312"
"6340","308","308","308"
"6350","318","318","318"
"6360","356","356","356"
"6370","262","262","262"
"6380","320","320","320"
"6390","310","310","310"
"6400","330","330","330"
"6410","330","330","330"
"6420","296","296","296"
"6430","270","270","270"
"6440","314","314","314"
"6450","316","316","316"
"6460","304","304","304"
"6470","314","314","314"
"6480","304","304","304"
"6490","298","298","298"
"6500","294","294","294"
"6510","322","322","322"
"6520","302","302","302"
"6530","332","332","332"
"6540","330","330","330"
"6550","354","354","354"
"6560","338","338","338"
"6570","290","290","290"
"6580","316","316","316"
"6590","316","316","316"
"6600","280","280","280"
"6610","284","284","284"
"6620","316","316","316"
"6630","272","272","272"
"6640","306","306","306"
"6650","320","320","320"
"6660","306","306","306"
"6670","344","344","344"
"6680","320","320","320"
"6690","322","322","322"
"6700","322","322","322"
"6710","308","308","308"
"6720","312","312","312"
"6730","332","332","332"
"6740","320","320","320"
"6750","304","304","304"
"6760","310","310","310"
"6770","328","328","328"
"6780","270","270","270"
"6790","330","330","330"
"6800","330","330","330"
"6810","268","268","268"
"6820","272","272","272"
"6830","302","302","302"
"6840","310","310","310"
"6850","318","318","318"
"6860","306","306","306"
"6870","296","296","296"
"6880","314","314","314"
"6890","310","310","310"
"6900","322","322","322"
"6910","332","332","332"
"6920","332","332","332"
"6930","348","348","348"
"6940","324","324","324"
"6950","330","330","330"
"6960","326","326","326"
"6970","352","352","352"
"6980","312","312","312"
"6990","304","304","304"
"7000","334","334","334"
"7010","332","332","332"
"7020","316","316","316"
"7030","344","344","344"
"7040","300","300","300"
"7050","298","298","298"
"7060","312","312","312"
"7070","304","304","304"
"7080","322","322","322"
"7090","328","328","328"
"7100","334","334","334"
"7110","350","350","350"
"7120","294","294","294"
"7130","298","298","298"
"7140","334","334","334"
"7150","354","354","354"
"7160","336","336","336"
"7170","282","282","282"
"7180","308","308","308"
"7190","260","260","260"
"7200","264","264","264"
"7210","268","268","268"
"7220","248","248","248"
"7230","290","290","290"
"7240","262","262","262"
"7250","304","304","304"
"7260","296","296","296"
"7270","340","340","340"
"7280","322","322","322"
"7290","278","278","278"
"7300","300","300","300"
"7310","304","304","304"
"7320","346","346","346"
"7330","344","344","344"
"7340","304","304","304"
