"Step","deep-planet-14 - effective_dim","deep-planet-14 - effective_dim__MIN","deep-planet-14 - effective_dim__MAX"
"25160","306","306","306"
"25170","350","350","350"
"25180","284","284","284"
"25190","312","312","312"
"25200","310","310","310"
"25210","296","296","296"
"25220","278","278","278"
"25230","292","292","292"
"25240","292","292","292"
"25250","260","260","260"
"25260","278","278","278"
"25270","322","322","322"
"25280","344","344","344"
"25290","296","296","296"
"25300","290","290","290"
"25310","304","304","304"
"25320","288","288","288"
"25330","272","272","272"
"25340","266","266","266"
"25350","306","306","306"
"25360","316","316","316"
"25370","268","268","268"
"25380","310","310","310"
"25390","274","274","274"
"25400","312","312","312"
"25410","344","344","344"
"25420","300","300","300"
"25430","298","298","298"
"25440","304","304","304"
"25450","294","294","294"
"25460","286","286","286"
"25470","316","316","316"
"25480","276","276","276"
"25490","316","316","316"
"25500","340","340","340"
"25510","302","302","302"
"25520","326","326","326"
"25530","310","310","310"
"25540","282","282","282"
"25550","308","308","308"
"25560","318","318","318"
"25570","278","278","278"
"25580","282","282","282"
"25590","302","302","302"
"25600","276","276","276"
"25610","324","324","324"
"25620","314","314","314"
"25630","231","231","231"
"25640","292","292","292"
"25650","296","296","296"
"25660","316","316","316"
"25670","288","288","288"
"25680","268","268","268"
"25690","316","316","316"
"25700","288","288","288"
"25710","316","316","316"
"25720","298","298","298"
"25730","318","318","318"
"25740","292","292","292"
"25750","282","282","282"
"25760","286","286","286"
"25770","306","306","306"
"25780","268","268","268"
"25790","264","264","264"
"25800","302","302","302"
"25810","288","288","288"
"25820","278","278","278"
"25830","316","316","316"
"25840","282","282","282"
"25850","296","296","296"
"25860","310","310","310"
"25870","310","310","310"
"25880","286","286","286"
"25890","346","346","346"
"25900","328","328","328"
"25910","322","322","322"
"25920","304","304","304"
"25930","310","310","310"
"25940","312","312","312"
"25950","312","312","312"
"25960","314","314","314"
"25970","300","300","300"
"25980","296","296","296"
"25990","316","316","316"
"26000","292","292","292"
"26010","292","292","292"
"26020","296","296","296"
"26030","308","308","308"
"26040","310","310","310"
"26050","310","310","310"
"26060","282","282","282"
"26070","296","296","296"
"26080","300","300","300"
"26090","304","304","304"
"26100","288","288","288"
"26110","312","312","312"
"26120","318","318","318"
"26130","304","304","304"
"26140","276","276","276"
"26150","344","344","344"
"26160","334","334","334"
"26170","326","326","326"
"26180","306","306","306"
"26190","276","276","276"
"26200","316","316","316"
"26210","302","302","302"
"26220","310","310","310"
"26230","300","300","300"
"26240","284","284","284"
"26250","316","316","316"
"26260","276","276","276"
"26270","296","296","296"
"26280","260","260","260"
"26290","298","298","298"
"26300","322","322","322"
"26310","268","268","268"
"26320","162","162","162"
"26330","274","274","274"
"26340","304","304","304"
"26350","288","288","288"
"26360","328","328","328"
"26370","300","300","300"
"26380","210","210","210"
"26390","316","316","316"
"26400","310","310","310"
"26410","300","300","300"
"26420","330","330","330"
"26430","304","304","304"
"26440","342","342","342"
"26450","312","312","312"
"26460","300","300","300"
"26470","314","314","314"
"26480","276","276","276"
"26490","288","288","288"
"26500","330","330","330"
"26510","298","298","298"
"26520","322","322","322"
"26530","296","296","296"
"26540","322","322","322"
"26550","286","286","286"
"26560","304","304","304"
"26570","308","308","308"
"26580","328","328","328"
"26590","292","292","292"
"26600","262","262","262"
"26610","316","316","316"
"26620","278","278","278"
"26630","324","324","324"
"26640","310","310","310"
"26650","258","258","258"
"26660","308","308","308"
"26670","324","324","324"
"26680","310","310","310"
"26690","322","322","322"
"26700","304","304","304"
"26710","302","302","302"
"26720","356","356","356"
"26730","276","276","276"
"26740","314","314","314"
"26750","314","314","314"
"26760","336","336","336"
"26770","304","304","304"
"26780","328","328","328"
"26790","310","310","310"
"26800","312","312","312"
"26810","294","294","294"
"26820","282","282","282"
"26830","308","308","308"
"26840","296","296","296"
"26850","304","304","304"
"26860","310","310","310"
"26870","282","282","282"
"26880","312","312","312"
"26890","322","322","322"
"26900","322","322","322"
"26910","310","310","310"
"26920","304","304","304"
"26930","314","314","314"
"26940","276","276","276"
"26950","346","346","346"
"26960","310","310","310"
"26970","266","266","266"
"26980","274","274","274"
"26990","264","264","264"
"27000","304","304","304"
"27010","252","252","252"
"27020","298","298","298"
"27030","314","314","314"
"27040","328","328","328"
"27050","298","298","298"
"27060","284","284","284"
"27070","282","282","282"
"27080","300","300","300"
"27090","306","306","306"
"27100","310","310","310"
"27110","304","304","304"
"27120","278","278","278"
"27130","316","316","316"
"27140","294","294","294"
"27150","243","243","243"
"27160","332","332","332"
"27170","330","330","330"
"27180","296","296","296"
"27190","302","302","302"
"27200","306","306","306"
"27210","245","245","245"
"27220","284","284","284"
"27230","322","322","322"
"27240","328","328","328"
"27250","294","294","294"
"27260","300","300","300"
"27270","312","312","312"
"27280","322","322","322"
"27290","266","266","266"
"27300","278","278","278"
"27310","274","274","274"
"27320","342","342","342"
"27330","328","328","328"
"27340","278","278","278"
"27350","304","304","304"
"27360","318","318","318"
"27370","302","302","302"
"27380","304","304","304"
"27390","334","334","334"
"27400","348","348","348"
"27410","248","248","248"
"27420","328","328","328"
"27430","308","308","308"
"27440","318","318","318"
"27450","316","316","316"
"27460","300","300","300"
"27470","314","314","314"
"27480","282","282","282"
"27490","288","288","288"
"27500","286","286","286"
"27510","276","276","276"
"27520","308","308","308"
"27530","286","286","286"
"27540","332","332","332"
"27550","304","304","304"
"27560","358","358","358"
"27570","302","302","302"
"27580","266","266","266"
"27590","270","270","270"
"27600","312","312","312"
"27610","237","237","237"
"27620","304","304","304"
"27630","328","328","328"
"27640","312","312","312"
"27650","286","286","286"
"27660","300","300","300"
"27670","318","318","318"
"27680","344","344","344"
"27690","322","322","322"
"27700","252","252","252"
"27710","306","306","306"
"27720","306","306","306"
"27730","332","332","332"
"27740","334","334","334"
"27750","296","296","296"
"27760","302","302","302"
"27770","322","322","322"
"27780","304","304","304"
"27790","234","234","234"
"27800","290","290","290"
"27810","300","300","300"
"27820","330","330","330"
"27830","284","284","284"
"27840","278","278","278"
"27850","310","310","310"
"27860","286","286","286"
"27870","322","322","322"
"27880","300","300","300"
"27890","300","300","300"
"27900","314","314","314"
"27910","288","288","288"
"27920","276","276","276"
"27930","282","282","282"
"27940","296","296","296"
"27950","296","296","296"
"27960","302","302","302"
"27970","334","334","334"
"27980","332","332","332"
"27990","288","288","288"
"28000","332","332","332"
"28010","304","304","304"
"28020","288","288","288"
"28030","310","310","310"
"28040","318","318","318"
"28050","270","270","270"
"28060","276","276","276"
"28070","320","320","320"
"28080","316","316","316"
"28090","262","262","262"
"28100","322","322","322"
"28110","282","282","282"
"28120","316","316","316"
"28130","304","304","304"
"28140","296","296","296"
"28150","330","330","330"
"28160","330","330","330"
"28170","270","270","270"
"28180","268","268","268"
"28190","264","264","264"
"28200","306","306","306"
"28210","330","330","330"
"28220","276","276","276"
"28230","284","284","284"
"28240","288","288","288"
"28250","316","316","316"
"28260","300","300","300"
"28270","344","344","344"
"28280","328","328","328"
"28290","272","272","272"
"28300","276","276","276"
"28310","322","322","322"
"28320","322","322","322"
"28330","324","324","324"
"28340","292","292","292"
"28350","308","308","308"
"28360","304","304","304"
"28370","296","296","296"
"28380","342","342","342"
"28390","316","316","316"
"28400","274","274","274"
"28410","276","276","276"
"28420","290","290","290"
"28430","292","292","292"
"28440","304","304","304"
"28450","314","314","314"
"28460","304","304","304"
"28470","320","320","320"
"28480","344","344","344"
"28490","312","312","312"
"28500","330","330","330"
"28510","288","288","288"
"28520","344","344","344"
"28530","302","302","302"
"28540","318","318","318"
"28550","306","306","306"
"28560","284","284","284"
"28570","296","296","296"
"28580","308","308","308"
"28590","322","322","322"
"28600","334","334","334"
"28610","328","328","328"
"28620","316","316","316"
"28630","320","320","320"
"28640","318","318","318"
"28650","284","284","284"
"28660","298","298","298"
"28670","296","296","296"
"28680","290","290","290"
"28690","288","288","288"
"28700","274","274","274"
"28710","296","296","296"
"28720","292","292","292"
"28730","316","316","316"
"28740","296","296","296"
"28750","312","312","312"
"28760","322","322","322"
"28770","306","306","306"
"28780","326","326","326"
"28790","298","298","298"
"28800","298","298","298"
"28810","316","316","316"
"28820","268","268","268"
"28830","290","290","290"
"28840","316","316","316"
"28850","326","326","326"
"28860","302","302","302"
"28870","316","316","316"
"28880","300","300","300"
"28890","274","274","274"
"28900","304","304","304"
"28910","308","308","308"
"28920","280","280","280"
"28930","304","304","304"
"28940","300","300","300"
"28950","338","338","338"
"28960","330","330","330"
"28970","278","278","278"
"28980","316","316","316"
"28990","314","314","314"
"29000","338","338","338"
"29010","294","294","294"
"29020","328","328","328"
"29030","292","292","292"
"29040","326","326","326"
"29050","304","304","304"
"29060","310","310","310"
"29070","330","330","330"
"29080","300","300","300"
"29090","312","312","312"
"29100","322","322","322"
"29110","292","292","292"
"29120","320","320","320"
"29130","310","310","310"
"29140","282","282","282"
"29150","268","268","268"
"29160","302","302","302"
"29170","344","344","344"
"29180","298","298","298"
"29190","300","300","300"
"29200","308","308","308"
"29210","292","292","292"
"29220","314","314","314"
"29230","270","270","270"
"29240","298","298","298"
"29250","310","310","310"
"29260","330","330","330"
"29270","298","298","298"
"29280","254","254","254"
"29290","304","304","304"
"29300","274","274","274"
"29310","288","288","288"
"29320","302","302","302"
"29330","298","298","298"
"29340","320","320","320"
"29350","294","294","294"
"29360","330","330","330"
"29370","310","310","310"
"29380","320","320","320"
"29390","302","302","302"
"29400","280","280","280"
"29410","316","316","316"
"29420","310","310","310"
"29430","308","308","308"
"29440","294","294","294"
"29450","296","296","296"
"29460","266","266","266"
"29470","302","302","302"
"29480","288","288","288"
"29490","322","322","322"
"29500","292","292","292"
"29510","318","318","318"
"29520","328","328","328"
"29530","272","272","272"
"29540","300","300","300"
"29550","304","304","304"
"29560","322","322","322"
"29570","312","312","312"
"29580","342","342","342"
"29590","322","322","322"
"29600","262","262","262"
"29610","316","316","316"
"29620","314","314","314"
"29630","300","300","300"
"29640","330","330","330"
"29650","284","284","284"
"29660","332","332","332"
"29670","310","310","310"
"29680","304","304","304"
"29690","294","294","294"
"29700","318","318","318"
"29710","318","318","318"
"29720","290","290","290"
"29730","314","314","314"
"29740","326","326","326"
"29750","312","312","312"
"29760","258","258","258"
"29770","296","296","296"
"29780","306","306","306"
"29790","286","286","286"
"29800","344","344","344"
"29810","288","288","288"
"29820","272","272","272"
"29830","296","296","296"
"29840","302","302","302"
"29850","296","296","296"
"29860","310","310","310"
"29870","258","258","258"
"29880","312","312","312"
"29890","296","296","296"
"29900","304","304","304"
"29910","320","320","320"
"29920","290","290","290"
"29930","330","330","330"
"29940","334","334","334"
"29950","316","316","316"
"29960","316","316","316"
"29970","288","288","288"
"29980","316","316","316"
"29990","306","306","306"
"30000","304","304","304"
"30010","330","330","330"
"30020","328","328","328"
"30030","310","310","310"
"30040","302","302","302"
"30050","310","310","310"
"30060","322","322","322"
"30070","336","336","336"
"30080","276","276","276"
"30090","302","302","302"
"30100","286","286","286"
"30110","278","278","278"
"30120","262","262","262"
"30130","308","308","308"
"30140","302","302","302"
"30150","342","342","342"
"30160","318","318","318"
"30170","302","302","302"
"30180","324","324","324"
"30190","278","278","278"
"30200","286","286","286"
"30210","302","302","302"
"30220","328","328","328"
"30230","262","262","262"
"30240","296","296","296"
"30250","326","326","326"
"30260","316","316","316"
"30270","316","316","316"
"30280","304","304","304"
"30290","308","308","308"
"30300","304","304","304"
"30310","312","312","312"
"30320","316","316","316"
"30330","316","316","316"
"30340","286","286","286"
"30350","304","304","304"
"30360","282","282","282"
"30370","304","304","304"
"30380","278","278","278"
"30390","290","290","290"
"30400","310","310","310"
"30410","326","326","326"
"30420","302","302","302"
"30430","320","320","320"
"30440","282","282","282"
"30450","322","322","322"
"30460","278","278","278"
"30470","282","282","282"
"30480","324","324","324"
"30490","296","296","296"
"30500","298","298","298"
"30510","288","288","288"
"30520","314","314","314"
"30530","316","316","316"
"30540","346","346","346"
"30550","264","264","264"
"30560","304","304","304"
"30570","268","268","268"
"30580","308","308","308"
"30590","308","308","308"
"30600","344","344","344"
"30610","300","300","300"
"30620","286","286","286"
"30630","268","268","268"
"30640","300","300","300"
"30650","290","290","290"
"30660","288","288","288"
"30670","268","268","268"
"30680","300","300","300"
"30690","316","316","316"
"30700","310","310","310"
"30710","304","304","304"
"30720","326","326","326"
"30730","318","318","318"
"30740","296","296","296"
"30750","288","288","288"
"30760","274","274","274"
"30770","308","308","308"
"30780","296","296","296"
"30790","320","320","320"
"30800","328","328","328"
"30810","320","320","320"
"30820","316","316","316"
"30830","344","344","344"
"30840","292","292","292"
"30850","310","310","310"
"30860","300","300","300"
"30870","316","316","316"
"30880","282","282","282"
"30890","308","308","308"
"30900","280","280","280"
"30910","316","316","316"
"30920","284","284","284"
"30930","274","274","274"
"30940","320","320","320"
"30950","284","284","284"
"30960","318","318","318"
"30970","296","296","296"
"30980","292","292","292"
"30990","322","322","322"
"31000","294","294","294"
"31010","328","328","328"
"31020","270","270","270"
"31030","286","286","286"
"31040","320","320","320"
"31050","304","304","304"
"31060","296","296","296"
"31070","282","282","282"
"31080","282","282","282"
"31090","308","308","308"
"31100","284","284","284"
"31110","284","284","284"
"31120","310","310","310"
"31130","318","318","318"
"31140","316","316","316"
"31150","316","316","316"
"31160","320","320","320"
"31170","300","300","300"
"31180","322","322","322"
"31190","290","290","290"
"31200","340","340","340"
"31210","290","290","290"
"31220","284","284","284"
"31230","282","282","282"
"31240","316","316","316"
"31250","316","316","316"
"31260","338","338","338"
"31270","318","318","318"
"31280","252","252","252"
"31290","324","324","324"
"31300","314","314","314"
"31310","300","300","300"
"31320","310","310","310"
"31330","320","320","320"
"31340","302","302","302"
"31350","300","300","300"
"31360","310","310","310"
"31370","326","326","326"
"31380","314","314","314"
"31390","306","306","306"
"31400","310","310","310"
"31410","288","288","288"
"31420","290","290","290"
"31430","320","320","320"
"31440","302","302","302"
"31450","312","312","312"
"31460","258","258","258"
"31470","324","324","324"
"31480","322","322","322"
"31490","296","296","296"
"31500","288","288","288"
"31510","320","320","320"
"31520","304","304","304"
"31530","284","284","284"
"31540","276","276","276"
"31550","296","296","296"
"31560","316","316","316"
"31570","300","300","300"
"31580","296","296","296"
"31590","304","304","304"
"31600","324","324","324"
"31610","320","320","320"
"31620","340","340","340"
"31630","314","314","314"
"31640","320","320","320"
"31650","322","322","322"
"31660","312","312","312"
"31670","272","272","272"
"31680","334","334","334"
"31690","286","286","286"
"31700","256","256","256"
"31710","296","296","296"
"31720","320","320","320"
"31730","280","280","280"
"31740","322","322","322"
"31750","300","300","300"
"31760","245","245","245"
"31770","308","308","308"
"31780","304","304","304"
"31790","304","304","304"
"31800","336","336","336"
"31810","300","300","300"
"31820","316","316","316"
"31830","280","280","280"
"31840","298","298","298"
"31850","328","328","328"
"31860","284","284","284"
"31870","310","310","310"
"31880","266","266","266"
"31890","292","292","292"
"31900","316","316","316"
"31910","320","320","320"
"31920","304","304","304"
"31930","288","288","288"
"31940","322","322","322"
"31950","322","322","322"
"31960","278","278","278"
"31970","266","266","266"
"31980","330","330","330"
"31990","296","296","296"
"32000","322","322","322"
"32010","328","328","328"
"32020","326","326","326"
"32030","294","294","294"
"32040","282","282","282"
"32050","310","310","310"
"32060","306","306","306"
"32070","300","300","300"
"32080","274","274","274"
"32090","314","314","314"
"32100","322","322","322"
"32110","288","288","288"
"32120","314","314","314"
"32130","340","340","340"
"32140","330","330","330"
"32150","334","334","334"
"32160","318","318","318"
"32170","322","322","322"
"32180","320","320","320"
"32190","322","322","322"
"32200","316","316","316"
"32210","328","328","328"
"32220","322","322","322"
"32230","326","326","326"
"32240","330","330","330"
"32250","302","302","302"
"32260","310","310","310"
"32270","278","278","278"
"32280","282","282","282"
"32290","280","280","280"
"32300","320","320","320"
"32310","314","314","314"
"32320","294","294","294"
"32330","312","312","312"
"32340","270","270","270"
"32350","330","330","330"
"32360","296","296","296"
"32370","342","342","342"
"32380","304","304","304"
"32390","330","330","330"
"32400","280","280","280"
"32410","330","330","330"
"32420","276","276","276"
"32430","296","296","296"
"32440","276","276","276"
"32450","324","324","324"
"32460","274","274","274"
"32470","324","324","324"
"32480","296","296","296"
"32490","296","296","296"
"32500","278","278","278"
"32510","304","304","304"
"32520","302","302","302"
"32530","314","314","314"
"32540","340","340","340"
"32550","328","328","328"
"32560","286","286","286"
"32570","294","294","294"
"32580","288","288","288"
"32590","300","300","300"
"32600","288","288","288"
"32610","322","322","322"
"32620","316","316","316"
"32630","316","316","316"
"32640","308","308","308"
"32650","296","296","296"
"32660","342","342","342"
"32670","298","298","298"
"32680","340","340","340"
"32690","296","296","296"
"32700","252","252","252"
"32710","332","332","332"
"32720","328","328","328"
"32730","268","268","268"
"32740","304","304","304"
"32750","300","300","300"
"32760","308","308","308"
"32770","314","314","314"
"32780","276","276","276"
"32790","310","310","310"
"32800","300","300","300"
"32810","316","316","316"
"32820","318","318","318"
"32830","330","330","330"
"32840","290","290","290"
"32850","330","330","330"
"32860","310","310","310"
"32870","296","296","296"
"32880","330","330","330"
"32890","280","280","280"
"32900","304","304","304"
"32910","322","322","322"
"32920","330","330","330"
"32930","328","328","328"
"32940","340","340","340"
"32950","284","284","284"
"32960","280","280","280"
"32970","346","346","346"
"32980","304","304","304"
"32990","314","314","314"
"33000","310","310","310"
"33010","300","300","300"
"33020","292","292","292"
"33030","280","280","280"
"33040","300","300","300"
"33050","306","306","306"
"33060","314","314","314"
"33070","324","324","324"
"33080","288","288","288"
"33090","282","282","282"
"33100","310","310","310"
"33110","328","328","328"
"33120","288","288","288"
"33130","344","344","344"
"33140","262","262","262"
"33150","302","302","302"
"33160","296","296","296"
"33170","310","310","310"
"33180","316","316","316"
"33190","302","302","302"
"33200","304","304","304"
"33210","294","294","294"
"33220","310","310","310"
"33230","308","308","308"
"33240","330","330","330"
"33250","330","330","330"
"33260","344","344","344"
"33270","274","274","274"
"33280","246","246","246"
"33290","304","304","304"
"33300","268","268","268"
"33310","284","284","284"
"33320","322","322","322"
"33330","310","310","310"
"33340","318","318","318"
"33350","310","310","310"
"33360","328","328","328"
"33370","264","264","264"
"33380","318","318","318"
"33390","260","260","260"
"33400","274","274","274"
"33410","316","316","316"
"33420","334","334","334"
"33430","304","304","304"
"33440","268","268","268"
"33450","322","322","322"
"33460","278","278","278"
"33470","300","300","300"
"33480","312","312","312"
"33490","296","296","296"
"33500","296","296","296"
"33510","302","302","302"
"33520","318","318","318"
"33530","312","312","312"
"33540","336","336","336"
"33550","308","308","308"
"33560","292","292","292"
"33570","320","320","320"
"33580","276","276","276"
"33590","310","310","310"
"33600","274","274","274"
"33610","286","286","286"
"33620","300","300","300"
"33630","330","330","330"
"33640","288","288","288"
"33650","328","328","328"
"33660","332","332","332"
"33670","260","260","260"
"33680","322","322","322"
"33690","308","308","308"
"33700","292","292","292"
