"Step","deep-planet-14 - cov_loss","deep-planet-14 - cov_loss__MIN","deep-planet-14 - cov_loss__MAX"
"2490","3.421875","3.421875","3.421875"
"2500","3.40625","3.40625","3.40625"
"2510","1.6328125","1.6328125","1.6328125"
"2520","1.65625","1.65625","1.65625"
"2530","2.390625","2.390625","2.390625"
"2540","2.875","2.875","2.875"
"2550","2.21875","2.21875","2.21875"
"2560","1.9921875","1.9921875","1.9921875"
"2570","1.875","1.875","1.875"
"2580","2.53125","2.53125","2.53125"
"2590","3.21875","3.21875","3.21875"
"2600","2.3125","2.3125","2.3125"
"2610","2.71875","2.71875","2.71875"
"2620","3.234375","3.234375","3.234375"
"2630","2.5","2.5","2.5"
"2640","2.28125","2.28125","2.28125"
"2650","2.203125","2.203125","2.203125"
"2660","3.09375","3.09375","3.09375"
"2670","3.46875","3.46875","3.46875"
"2680","2.015625","2.015625","2.015625"
"2690","2.296875","2.296875","2.296875"
"2700","2.296875","2.296875","2.296875"
"2710","2.1875","2.1875","2.1875"
"2720","2.890625","2.890625","2.890625"
"2730","2.171875","2.171875","2.171875"
"2740","3.375","3.375","3.375"
"2750","2.9375","2.9375","2.9375"
"2760","2.5625","2.5625","2.5625"
"2770","1.921875","1.921875","1.921875"
"2780","2.40625","2.40625","2.40625"
"2790","3.0625","3.0625","3.0625"
"2800","2.09375","2.09375","2.09375"
"2810","2.234375","2.234375","2.234375"
"2820","2.984375","2.984375","2.984375"
"2830","3.265625","3.265625","3.265625"
"2840","2.03125","2.03125","2.03125"
"2850","3.375","3.375","3.375"
"2860","2.109375","2.109375","2.109375"
"2870","3.0625","3.0625","3.0625"
"2880","2.796875","2.796875","2.796875"
"2890","3.078125","3.078125","3.078125"
"2900","2.40625","2.40625","2.40625"
"2910","3.40625","3.40625","3.40625"
"2920","3.09375","3.09375","3.09375"
"2930","3.578125","3.578125","3.578125"
"2940","2.5","2.5","2.5"
"2950","2.28125","2.28125","2.28125"
"2960","3.578125","3.578125","3.578125"
"2970","3.21875","3.21875","3.21875"
"2980","2.40625","2.40625","2.40625"
"2990","3.3125","3.3125","3.3125"
"3000","2.234375","2.234375","2.234375"
"3010","1.9609375","1.9609375","1.9609375"
"3020","2.234375","2.234375","2.234375"
"3030","2.0625","2.0625","2.0625"
"3040","2.421875","2.421875","2.421875"
"3050","2","2","2"
"3060","2.359375","2.359375","2.359375"
"3070","2.296875","2.296875","2.296875"
"3080","3.109375","3.109375","3.109375"
"3090","2.921875","2.921875","2.921875"
"3100","2.265625","2.265625","2.265625"
"3110","2.3125","2.3125","2.3125"
"3120","2.328125","2.328125","2.328125"
"3130","2.890625","2.890625","2.890625"
"3140","2.359375","2.359375","2.359375"
"3150","2.25","2.25","2.25"
"3160","2.875","2.875","2.875"
"3170","3.015625","3.015625","3.015625"
"3180","2.375","2.375","2.375"
"3190","2.25","2.25","2.25"
"3200","2.515625","2.515625","2.515625"
"3210","2.375","2.375","2.375"
"3220","2.359375","2.359375","2.359375"
"3230","2.234375","2.234375","2.234375"
"3240","3.03125","3.03125","3.03125"
"3250","3.171875","3.171875","3.171875"
"3260","3.25","3.25","3.25"
"3270","3.015625","3.015625","3.015625"
"3280","2.359375","2.359375","2.359375"
"3290","3.296875","3.296875","3.296875"
"3300","2.953125","2.953125","2.953125"
"3310","2.953125","2.953125","2.953125"
"3320","2.84375","2.84375","2.84375"
"3330","2.015625","2.015625","2.015625"
"3340","2.28125","2.28125","2.28125"
"3350","2.96875","2.96875","2.96875"
"3360","2.953125","2.953125","2.953125"
