"Step","deep-planet-14 - contrastive_loss","deep-planet-14 - contrastive_loss__MIN","deep-planet-14 - contrastive_loss__MAX"
"2770","4.6875","4.6875","4.6875"
"2780","4.6875","4.6875","4.6875"
"2790","4.71875","4.71875","4.71875"
"2800","4.65625","4.65625","4.65625"
"2810","4.6875","4.6875","4.6875"
"2820","4.6875","4.6875","4.6875"
"2830","4.75","4.75","4.75"
"2840","4.6875","4.6875","4.6875"
"2850","4.71875","4.71875","4.71875"
"2860","4.71875","4.71875","4.71875"
"2870","4.71875","4.71875","4.71875"
"2880","4.6875","4.6875","4.6875"
"2890","4.71875","4.71875","4.71875"
"2900","4.65625","4.65625","4.65625"
"2910","4.75","4.75","4.75"
"2920","4.71875","4.71875","4.71875"
"2930","4.6875","4.6875","4.6875"
"2940","4.6875","4.6875","4.6875"
"2950","4.65625","4.65625","4.65625"
"2960","4.71875","4.71875","4.71875"
"2970","4.6875","4.6875","4.6875"
"2980","4.6875","4.6875","4.6875"
"2990","4.6875","4.6875","4.6875"
"3000","4.65625","4.65625","4.65625"
"3010","4.65625","4.65625","4.65625"
"3020","4.6875","4.6875","4.6875"
"3030","4.6875","4.6875","4.6875"
"3040","4.65625","4.65625","4.65625"
"3050","4.65625","4.65625","4.65625"
"3060","4.6875","4.6875","4.6875"
"3070","4.65625","4.65625","4.65625"
"3080","4.6875","4.6875","4.6875"
"3090","4.6875","4.6875","4.6875"
"3100","4.65625","4.65625","4.65625"
"3110","4.6875","4.6875","4.6875"
"3120","4.6875","4.6875","4.6875"
"3130","4.6875","4.6875","4.6875"
"3140","4.65625","4.65625","4.65625"
"3150","4.6875","4.6875","4.6875"
"3160","4.71875","4.71875","4.71875"
"3170","4.71875","4.71875","4.71875"
"3180","4.6875","4.6875","4.6875"
"3190","4.65625","4.65625","4.65625"
"3200","4.6875","4.6875","4.6875"
"3210","4.6875","4.6875","4.6875"
"3220","4.6875","4.6875","4.6875"
"3230","4.6875","4.6875","4.6875"
"3240","4.65625","4.65625","4.65625"
"3250","4.6875","4.6875","4.6875"
"3260","4.6875","4.6875","4.6875"
"3270","4.71875","4.71875","4.71875"
"3280","4.65625","4.65625","4.65625"
"3290","4.6875","4.6875","4.6875"
"3300","4.6875","4.6875","4.6875"
"3310","4.6875","4.6875","4.6875"
"3320","4.65625","4.65625","4.65625"
"3330","4.65625","4.65625","4.65625"
"3340","4.65625","4.65625","4.65625"
"3350","4.6875","4.6875","4.6875"
"3360","4.6875","4.6875","4.6875"
"3370","4.6875","4.6875","4.6875"
"3380","4.65625","4.65625","4.65625"
"3390","4.6875","4.6875","4.6875"
"3400","4.65625","4.65625","4.65625"
"3410","4.65625","4.65625","4.65625"
"3420","4.6875","4.6875","4.6875"
"3430","4.71875","4.71875","4.71875"
"3440","4.6875","4.6875","4.6875"
"3450","4.6875","4.6875","4.6875"
"3460","4.65625","4.65625","4.65625"
"3470","4.6875","4.6875","4.6875"
"3480","4.6875","4.6875","4.6875"
"3490","4.65625","4.65625","4.65625"
"3500","4.6875","4.6875","4.6875"
"3510","4.6875","4.6875","4.6875"
"3520","4.65625","4.65625","4.65625"
"3530","4.6875","4.6875","4.6875"
"3540","4.65625","4.65625","4.65625"
"3550","4.65625","4.65625","4.65625"
"3560","4.6875","4.6875","4.6875"
