"Step","tpu-v4-spmd-resumed-0 - train/full_l40_prior","tpu-v4-spmd-resumed-0 - train/full_l40_prior__MIN","tpu-v4-spmd-resumed-0 - train/full_l40_prior__MAX"
"5360","0.609375","0.609375","0.609375"
"5380","0.4921875","0.4921875","0.4921875"
"5400","0.48828125","0.48828125","0.48828125"
"5420","0.46484375","0.46484375","0.46484375"
"5440","0.48828125","0.48828125","0.48828125"
"5460","0.474609375","0.474609375","0.474609375"
"5480","0.5546875","0.5546875","0.5546875"
"5500","0.51171875","0.51171875","0.51171875"
"5520","0.5","0.5","0.5"
"5540","0.474609375","0.474609375","0.474609375"
"5560","0.474609375","0.474609375","0.474609375"
"5580","0.51171875","0.51171875","0.51171875"
"5600","0.5","0.5","0.5"
"5620","0.5234375","0.5234375","0.5234375"
"5640","0.490234375","0.490234375","0.490234375"
"5660","0.466796875","0.466796875","0.466796875"
"5680","0.51953125","0.51953125","0.51953125"
"5700","0.498046875","0.498046875","0.498046875"
"5720","0.50390625","0.50390625","0.50390625"
"5740","0.490234375","0.490234375","0.490234375"
"5760","0.48828125","0.48828125","0.48828125"
"5780","0.51171875","0.51171875","0.51171875"
"5800","0.48046875","0.48046875","0.48046875"
"5820","0.703125","0.703125","0.703125"
"5840","0.5078125","0.5078125","0.5078125"
"5860","0.5234375","0.5234375","0.5234375"
"5880","0.51953125","0.51953125","0.51953125"
"5900","0.53125","0.53125","0.53125"
"5920","0.482421875","0.482421875","0.482421875"
"5940","0.63671875","0.63671875","0.63671875"
"5960","0.5390625","0.5390625","0.5390625"
"5980","0.5546875","0.5546875","0.5546875"
"6000","0.53125","0.53125","0.53125"
"6020","0.51953125","0.51953125","0.51953125"
"6040","0.484375","0.484375","0.484375"
"6060","0.453125","0.453125","0.453125"
"6080","0.4921875","0.4921875","0.4921875"
"6100","0.46484375","0.46484375","0.46484375"
"6120","0.5234375","0.5234375","0.5234375"
"6140","0.58203125","0.58203125","0.58203125"
"6160","0.71875","0.71875","0.71875"
"6180","0.59375","0.59375","0.59375"
"6200","0.8046875","0.8046875","0.8046875"
"6220","0.7578125","0.7578125","0.7578125"
"6240","1.4140625","1.4140625","1.4140625"
"6260","0.57421875","0.57421875","0.57421875"
"6280","0.8515625","0.8515625","0.8515625"
"6300","1.0234375","1.0234375","1.0234375"
"6320","0.6640625","0.6640625","0.6640625"
"6340","0.8828125","0.8828125","0.8828125"
"6360","0.6640625","0.6640625","0.6640625"
"6380","0.703125","0.703125","0.703125"
"6400","0.57421875","0.57421875","0.57421875"
"6420","0.6328125","0.6328125","0.6328125"
"6440","0.83984375","0.83984375","0.83984375"
"6460","0.5546875","0.5546875","0.5546875"
"6480","0.66015625","0.66015625","0.66015625"
"6500","0.6015625","0.6015625","0.6015625"
"6520","0.54296875","0.54296875","0.54296875"
"6540","0.6484375","0.6484375","0.6484375"
"6560","0.703125","0.703125","0.703125"
"6580","0.5390625","0.5390625","0.5390625"
"6600","0.53125","0.53125","0.53125"
"6620","0.51171875","0.51171875","0.51171875"
"6640","1.84375","1.84375","1.84375"
"6660","0.5390625","0.5390625","0.5390625"
"6680","0.5546875","0.5546875","0.5546875"
"6700","0.5546875","0.5546875","0.5546875"
"6720","0.53515625","0.53515625","0.53515625"
"6740","0.4765625","0.4765625","0.4765625"
"6760","0.6171875","0.6171875","0.6171875"
"6780","0.48828125","0.48828125","0.48828125"
"6800","0.546875","0.546875","0.546875"
"6820","0.48046875","0.48046875","0.48046875"
"6840","0.58984375","0.58984375","0.58984375"
"6860","0.6328125","0.6328125","0.6328125"
"6880","0.46484375","0.46484375","0.46484375"
"6900","0.50390625","0.50390625","0.50390625"
"6920","0.44140625","0.44140625","0.44140625"
"6940","0.63671875","0.63671875","0.63671875"
"6960","0.5546875","0.5546875","0.5546875"
"6980","0.4921875","0.4921875","0.4921875"
"7000","0.48046875","0.48046875","0.48046875"
"7020","0.5078125","0.5078125","0.5078125"
"7040","0.63671875","0.63671875","0.63671875"
"7060","0.5234375","0.5234375","0.5234375"
"7080","0.482421875","0.482421875","0.482421875"
"7100","0.48828125","0.48828125","0.48828125"
"7120","0.46875","0.46875","0.46875"
"7140","0.4921875","0.4921875","0.4921875"
"7160","0.50390625","0.50390625","0.50390625"
"7180","0.453125","0.453125","0.453125"
"7200","0.4609375","0.4609375","0.4609375"
"7220","0.44921875","0.44921875","0.44921875"
"7240","0.47265625","0.47265625","0.47265625"
"7260","0.546875","0.546875","0.546875"
"7280","0.484375","0.484375","0.484375"
"7300","0.4453125","0.4453125","0.4453125"
"7320","0.43359375","0.43359375","0.43359375"
"7340","0.44921875","0.44921875","0.44921875"
"7360","0.484375","0.484375","0.484375"
"7380","0.48046875","0.48046875","0.48046875"
"7400","0.625","0.625","0.625"
"7420","0.46875","0.46875","0.46875"
"7440","0.48828125","0.48828125","0.48828125"
"7460","0.490234375","0.490234375","0.490234375"
"7480","0.462890625","0.462890625","0.462890625"
"7500","0.453125","0.453125","0.453125"
"7520","0.462890625","0.462890625","0.462890625"
"7540","0.48046875","0.48046875","0.48046875"
"7560","0.4921875","0.4921875","0.4921875"
"7580","0.47265625","0.47265625","0.47265625"
"7600","0.48828125","0.48828125","0.48828125"
"7620","0.43359375","0.43359375","0.43359375"
"7640","0.5625","0.5625","0.5625"
"7660","0.54296875","0.54296875","0.54296875"
"7680","0.48046875","0.48046875","0.48046875"
"7700","0.4921875","0.4921875","0.4921875"
"7720","0.66015625","0.66015625","0.66015625"
"7740","0.4453125","0.4453125","0.4453125"
"7760","0.50390625","0.50390625","0.50390625"
"7780","0.5859375","0.5859375","0.5859375"
"7800","0.50390625","0.50390625","0.50390625"
"7820","0.53125","0.53125","0.53125"
"7840","0.484375","0.484375","0.484375"
"7860","0.53125","0.53125","0.53125"
"7880","0.4921875","0.4921875","0.4921875"
"7900","0.51171875","0.51171875","0.51171875"
"7920","0.5546875","0.5546875","0.5546875"
"7940","0.59375","0.59375","0.59375"
"7960","0.51953125","0.51953125","0.51953125"
"7980","0.4609375","0.4609375","0.4609375"
"8000","0.46484375","0.46484375","0.46484375"
"8020","0.59375","0.59375","0.59375"
"8040","0.46875","0.46875","0.46875"
"8060","0.46875","0.46875","0.46875"
"8080","0.43359375","0.43359375","0.43359375"
"8100","0.44921875","0.44921875","0.44921875"
"8120","0.5234375","0.5234375","0.5234375"
"8140","0.59375","0.59375","0.59375"
"8160","0.79296875","0.79296875","0.79296875"
"8180","0.48828125","0.48828125","0.48828125"
"8200","0.8203125","0.8203125","0.8203125"
"8220","0.8046875","0.8046875","0.8046875"
"8240","0.5546875","0.5546875","0.5546875"
"8260","0.578125","0.578125","0.578125"
"8280","0.5859375","0.5859375","0.5859375"
"8300","0.5859375","0.5859375","0.5859375"
"8320","0.5703125","0.5703125","0.5703125"
"8340","0.5625","0.5625","0.5625"
"8360","0.56640625","0.56640625","0.56640625"
"8380","0.65625","0.65625","0.65625"
"8400","0.921875","0.921875","0.921875"
"8420","0.8203125","0.8203125","0.8203125"
"8440","0.6328125","0.6328125","0.6328125"
"8460","0.72265625","0.72265625","0.72265625"
"8480","1.234375","1.234375","1.234375"
"8500","0.5859375","0.5859375","0.5859375"
"8520","0.578125","0.578125","0.578125"
"8540","0.515625","0.515625","0.515625"
"8560","0.59375","0.59375","0.59375"
"8580","0.6953125","0.6953125","0.6953125"
"8600","1.4140625","1.4140625","1.4140625"
"8620","0.72265625","0.72265625","0.72265625"
"8640","0.6328125","0.6328125","0.6328125"
"8660","0.6171875","0.6171875","0.6171875"
"8680","0.640625","0.640625","0.640625"
"8700","0.54296875","0.54296875","0.54296875"
"8720","0.6953125","0.6953125","0.6953125"
"8740","0.48046875","0.48046875","0.48046875"
"8760","0.48828125","0.48828125","0.48828125"
"8780","0.51953125","0.51953125","0.51953125"
"8800","0.47265625","0.47265625","0.47265625"
"8820","0.53125","0.53125","0.53125"
"8840","0.5703125","0.5703125","0.5703125"
"8860","0.515625","0.515625","0.515625"
"8880","0.46484375","0.46484375","0.46484375"
"8900","0.65625","0.65625","0.65625"
"8920","0.53125","0.53125","0.53125"
"8940","0.4921875","0.4921875","0.4921875"
"8960","0.4453125","0.4453125","0.4453125"
"8980","0.6484375","0.6484375","0.6484375"
"9000","0.5390625","0.5390625","0.5390625"
"9020","0.5703125","0.5703125","0.5703125"
