"Step","tpu-v4-spmd-resumed-18000 - train/delta_cos_l40_t23","tpu-v4-spmd-resumed-18000 - train/delta_cos_l40_t23__MIN","tpu-v4-spmd-resumed-18000 - train/delta_cos_l40_t23__MAX"
"21640","0.67578125","0.67578125","0.67578125"
"21660","0.49609375","0.49609375","0.49609375"
"21680","0.330078125","0.330078125","0.330078125"
"21700","0.65234375","0.65234375","0.65234375"
"21720","0.4609375","0.4609375","0.4609375"
"21740","0.3671875","0.3671875","0.3671875"
"21760","0.6015625","0.6015625","0.6015625"
"21780","0.58984375","0.58984375","0.58984375"
"21800","0.671875","0.671875","0.671875"
"21820","0.486328125","0.486328125","0.486328125"
"21840","0.50390625","0.50390625","0.50390625"
"21860","0.310546875","0.310546875","0.310546875"
"21880","0.5625","0.5625","0.5625"
"21900","0.421875","0.421875","0.421875"
"21920","0.421875","0.421875","0.421875"
"21940","0.4921875","0.4921875","0.4921875"
"21960","0.546875","0.546875","0.546875"
"21980","0.7109375","0.7109375","0.7109375"
"22000","0.50390625","0.50390625","0.50390625"
"22020","0.4765625","0.4765625","0.4765625"
"22040","0.51171875","0.51171875","0.51171875"
"22060","0.498046875","0.498046875","0.498046875"
"22080","0.62109375","0.62109375","0.62109375"
"22100","0.6875","0.6875","0.6875"
"22120","0.5","0.5","0.5"
"22140","0.443359375","0.443359375","0.443359375"
"22160","0.296875","0.296875","0.296875"
"22180","0.26953125","0.26953125","0.26953125"
"22200","0.65625","0.65625","0.65625"
"22220","0.65625","0.65625","0.65625"
"22240","0.7109375","0.7109375","0.7109375"
"22260","0.48828125","0.48828125","0.48828125"
"22280","0.419921875","0.419921875","0.419921875"
"22300","0.42578125","0.42578125","0.42578125"
"22320","0.5703125","0.5703125","0.5703125"
"22340","0.298828125","0.298828125","0.298828125"
"22360","0.375","0.375","0.375"
"22380","0.6640625","0.6640625","0.6640625"
"22400","0.353515625","0.353515625","0.353515625"
"22420","0.3515625","0.3515625","0.3515625"
"22440","0.578125","0.578125","0.578125"
"22460","0.50390625","0.50390625","0.50390625"
"22480","0.5703125","0.5703125","0.5703125"
"22500","0.5","0.5","0.5"
"22520","0.5078125","0.5078125","0.5078125"
"22540","0.578125","0.578125","0.578125"
"22560","0.2578125","0.2578125","0.2578125"
"22580","0.546875","0.546875","0.546875"
"22600","0.55859375","0.55859375","0.55859375"
"22620","0.453125","0.453125","0.453125"
"22640","0.6328125","0.6328125","0.6328125"
"22660","0.71875","0.71875","0.71875"
"22680","0.5546875","0.5546875","0.5546875"
"22700","0.458984375","0.458984375","0.458984375"
"22720","0.3828125","0.3828125","0.3828125"
"22740","0.67578125","0.67578125","0.67578125"
"22760","0.6015625","0.6015625","0.6015625"
"22780","0.625","0.625","0.625"
"22800","0.345703125","0.345703125","0.345703125"
"22820","0.2470703125","0.2470703125","0.2470703125"
"22840","0.6953125","0.6953125","0.6953125"
"22860","0.50390625","0.50390625","0.50390625"
"22880","0.455078125","0.455078125","0.455078125"
"22900","0.55859375","0.55859375","0.55859375"
"22920","0.5390625","0.5390625","0.5390625"
"22940","0.33203125","0.33203125","0.33203125"
"22960","0.640625","0.640625","0.640625"
"22980","0.734375","0.734375","0.734375"
"23000","0.2578125","0.2578125","0.2578125"
"23020","0.423828125","0.423828125","0.423828125"
"23040","0.578125","0.578125","0.578125"
"23060","0.5625","0.5625","0.5625"
"23080","0.6171875","0.6171875","0.6171875"
"23100","0.546875","0.546875","0.546875"
"23120","0.5625","0.5625","0.5625"
"23140","0.5234375","0.5234375","0.5234375"
"23160","0.546875","0.546875","0.546875"
"23180","0.271484375","0.271484375","0.271484375"
"23200","0.5546875","0.5546875","0.5546875"
"23220","0.63671875","0.63671875","0.63671875"
"23240","0.5078125","0.5078125","0.5078125"
"23260","0.57421875","0.57421875","0.57421875"
"23280","0.5078125","0.5078125","0.5078125"
"23300","0.59375","0.59375","0.59375"
"23320","0.48046875","0.48046875","0.48046875"
"23340","0.6953125","0.6953125","0.6953125"
"23360","0.625","0.625","0.625"
"23380","0.28125","0.28125","0.28125"
"23400","0.490234375","0.490234375","0.490234375"
"23420","0.427734375","0.427734375","0.427734375"
"23440","0.63671875","0.63671875","0.63671875"
"23460","0.3984375","0.3984375","0.3984375"
"23480","0.6171875","0.6171875","0.6171875"
"23500","0.6171875","0.6171875","0.6171875"
"23520","0.53515625","0.53515625","0.53515625"
"23540","0.5390625","0.5390625","0.5390625"
"23560","0.6484375","0.6484375","0.6484375"
"23580","0.515625","0.515625","0.515625"
"23600","0.640625","0.640625","0.640625"
"23620","0.19921875","0.19921875","0.19921875"
"23640","0.41015625","0.41015625","0.41015625"
"23660","0.10205078125","0.10205078125","0.10205078125"
"23680","0.53125","0.53125","0.53125"
"23700","0.60546875","0.60546875","0.60546875"
"23720","0.484375","0.484375","0.484375"
"23740","0.55078125","0.55078125","0.55078125"
"23760","0.56640625","0.56640625","0.56640625"
"23780","0.4296875","0.4296875","0.4296875"
"23800","0.337890625","0.337890625","0.337890625"
"23820","0.5078125","0.5078125","0.5078125"
"23840","0.4921875","0.4921875","0.4921875"
"23860","0.34375","0.34375","0.34375"
"23880","0.578125","0.578125","0.578125"
"23900","0.6484375","0.6484375","0.6484375"
"23920","0.310546875","0.310546875","0.310546875"
"23940","0.47265625","0.47265625","0.47265625"
"23960","0.48828125","0.48828125","0.48828125"
"23980","0.4140625","0.4140625","0.4140625"
"24000","0.498046875","0.498046875","0.498046875"
"24020","0.33984375","0.33984375","0.33984375"
"24040","0.47265625","0.47265625","0.47265625"
"24060","0.51953125","0.51953125","0.51953125"
"24080","0.59765625","0.59765625","0.59765625"
"24100","0.46875","0.46875","0.46875"
"24120","0.6640625","0.6640625","0.6640625"
"24140","0.55859375","0.55859375","0.55859375"
"24160","0.65625","0.65625","0.65625"
"24180","0.5234375","0.5234375","0.5234375"
"24200","0.3203125","0.3203125","0.3203125"
"24220","0.43359375","0.43359375","0.43359375"
"24240","0.68359375","0.68359375","0.68359375"
"24260","0.51171875","0.51171875","0.51171875"
"24280","0.515625","0.515625","0.515625"
"24300","0.47265625","0.47265625","0.47265625"
"24320","0.484375","0.484375","0.484375"
