"Step","phase1-awakening - loss","phase1-awakening - loss__MIN","phase1-awakening - loss__MAX"
"157","175.9080352783203","175.9080352783203","175.9080352783203"
"158","251.16123962402344","251.16123962402344","251.16123962402344"
"159","263.3304748535156","263.3304748535156","263.3304748535156"
"160","231.35882568359375","231.35882568359375","231.35882568359375"
"161","182.4600067138672","182.4600067138672","182.4600067138672"
"162","232.73817443847656","232.73817443847656","232.73817443847656"
"163","158.11866760253906","158.11866760253906","158.11866760253906"
"164","215.96670532226562","215.96670532226562","215.96670532226562"
"165","184.53382873535156","184.53382873535156","184.53382873535156"
"166","168.1570281982422","168.1570281982422","168.1570281982422"
"167","190.7200469970703","190.7200469970703","190.7200469970703"
"168","212.92469787597656","212.92469787597656","212.92469787597656"
"169","233.5490264892578","233.5490264892578","233.5490264892578"
"170","191.32022094726562","191.32022094726562","191.32022094726562"
"171","131.71810913085938","131.71810913085938","131.71810913085938"
"172","164.33094787597656","164.33094787597656","164.33094787597656"
"173","143.75299072265625","143.75299072265625","143.75299072265625"
"174","135.07957458496094","135.07957458496094","135.07957458496094"
"175","189.26107788085938","189.26107788085938","189.26107788085938"
"176","146.80442810058594","146.80442810058594","146.80442810058594"
"177","165.95733642578125","165.95733642578125","165.95733642578125"
"178","167.8922119140625","167.8922119140625","167.8922119140625"
"179","158.40292358398438","158.40292358398438","158.40292358398438"
"180","155.38624572753906","155.38624572753906","155.38624572753906"
"181","110.74828338623047","110.74828338623047","110.74828338623047"
"182","166.08154296875","166.08154296875","166.08154296875"
"183","153.5172119140625","153.5172119140625","153.5172119140625"
"184","139.0604248046875","139.0604248046875","139.0604248046875"
"185","96.41653442382812","96.41653442382812","96.41653442382812"
"186","116.14134979248047","116.14134979248047","116.14134979248047"
"187","107.48614501953125","107.48614501953125","107.48614501953125"
"188","144.9095458984375","144.9095458984375","144.9095458984375"
"189","128.96218872070312","128.96218872070312","128.96218872070312"
"190","204.47792053222656","204.47792053222656","204.47792053222656"
"191","108.39256286621094","108.39256286621094","108.39256286621094"
"192","93.55233001708984","93.55233001708984","93.55233001708984"
"193","135.60874938964844","135.60874938964844","135.60874938964844"
"194","110.89576721191406","110.89576721191406","110.89576721191406"
"195","89.1073989868164","89.1073989868164","89.1073989868164"
"196","74.01236724853516","74.01236724853516","74.01236724853516"
"197","88.538330078125","88.538330078125","88.538330078125"
"198","88.68959045410156","88.68959045410156","88.68959045410156"
"200","84.76268768310547","84.76268768310547","84.76268768310547"
"201","81.34236145019531","81.34236145019531","81.34236145019531"
"202","87.1932601928711","87.1932601928711","87.1932601928711"
"203","69.35774993896484","69.35774993896484","69.35774993896484"
"204","144.7000274658203","144.7000274658203","144.7000274658203"
"205","91.12570190429688","91.12570190429688","91.12570190429688"
"206","70.26641082763672","70.26641082763672","70.26641082763672"
"207","89.83863830566406","89.83863830566406","89.83863830566406"
"208","108.1445083618164","108.1445083618164","108.1445083618164"
"209","73.68301391601562","73.68301391601562","73.68301391601562"
"210","121.58283996582031","121.58283996582031","121.58283996582031"
"211","62.097259521484375","62.097259521484375","62.097259521484375"
"212","61.56539535522461","61.56539535522461","61.56539535522461"
"213","60.9696159362793","60.9696159362793","60.9696159362793"
"214","78.30915069580078","78.30915069580078","78.30915069580078"
"215","81.11568450927734","81.11568450927734","81.11568450927734"
"216","67.65669250488281","67.65669250488281","67.65669250488281"
"217","52.054840087890625","52.054840087890625","52.054840087890625"
"218","91.64913177490234","91.64913177490234","91.64913177490234"
"219","43.86854934692383","43.86854934692383","43.86854934692383"
"220","92.64886474609375","92.64886474609375","92.64886474609375"
"221","53.731201171875","53.731201171875","53.731201171875"
"222","48.67941665649414","48.67941665649414","48.67941665649414"
"223","80.510009765625","80.510009765625","80.510009765625"
"224","57.025394439697266","57.025394439697266","57.025394439697266"
"225","36.59361267089844","36.59361267089844","36.59361267089844"
"226","48.52067947387695","48.52067947387695","48.52067947387695"
"227","49.205108642578125","49.205108642578125","49.205108642578125"
"228","55.085121154785156","55.085121154785156","55.085121154785156"
"229","125.43651580810547","125.43651580810547","125.43651580810547"
"230","42.3315315246582","42.3315315246582","42.3315315246582"
